DEGs,Log2 FC,padj,Gene Name
Laptm5,0.50,0.0117,Lysosomal protein transmembrane 5
Lbh,−0.38,0.0226,Limb bud and heart development
Lcp1,0.42,0.0162,Lymphocyte cytosolic protein 1
Leo1,−0.34,0.0295,"LEO1 homolog, Paf1/RNA polymerase II complex component"
Lgals3,0.81,0.0077,Galectin 3
Lilrb3l,0.82,0.0435,Leukocyte immunoglobulin-like receptor subfamily B member 3-like
Limd1,−0.48,0.0015,LIM domain-containing 1
Lingo4,−0.55,0.0142,Leucine-rich repeat and Ig domain-containing 4
Map3k7cl,−0.66,0.0369,MAP3K7 C-terminal-like
Mill1,−1.78,0.0007,MHC I-like leukocyte 1
Mrc1,0.70,0.0105,"Mannose receptor, C type 1"
Mtfp1,−0.33,0.0250,Mitochondrial fission process 1
Mtus1,−0.30,0.0077,Mitochondrial tumor suppressor 1
Mx2,−0.45,0.0004,MX dynamin-like GTPase 2
Myh11,−1.46,0.0483,Myosin heavy chain 11
Myo5b,−0.46,0.0261,Myosin Vb
Myom2,−0.85,1.53 × 10−14,Myomesin 2
Nckap1l,0.72,0.0091,NCK associated protein 1-like
Npas2,−1.43,1.51 × 10−6,Neuronal PAS domain protein 2
Nrp2,−0.31,0.0457,Neuropilin 2
Ntsr1,1.01,0.0405,Neurotensin receptor 1
Nudt4,0.37,0.0073,Nudix hydrolase 4
P2rx4,0.42,0.0483,Purinergic receptor P2X 4
Paqr6,−0.57,0.0250,Progestin and adipoQ receptor family member 6
Per2,0.84,1.29 × 10−9,Period circadian regulator 2
Per3,1.25,0.0226,Period circadian regulator 3
Phlda1,−0.65,0.0420,"Pleckstrin homology-like domain, family A, member 1"
Pi16,−0.58,0.0215,Peptidase inhibitor 16
Pik3ip1,0.43,0.0043,Phosphoinositide-3-kinase interacting protein 1
Ppp1r14c,−0.34,0.0405,"Protein phosphatase 1, regulatory (inhibitor) subunit 14c"
Ppp1r3c,−0.41,0.0065,"Protein phosphatase 1, regulatory subunit 3C"
Rapgef5,0.31,0.0451,Rap guanine nucleotide exchange factor (GEF) 5
Rasd2,−0.77,0.0091,"RASD family, member 2"
Rasl11b,−0.59,0.0105,RAS-like family 11 member B
Rcan1,−0.63,0.0005,Regulator of calcineurin 1
Rhobtb1,0.82,2.92 × 10−9,Rho-related BTB domain-containing 1
Rhoj,−0.41,0.0210,Ras homolog family member J
Rimbp2,−0.62,0.0025,RIMS-binding protein 2
Rpl3,0.46,0.0120,Ribosomal protein L3
Rpl3l,−0.62,0.0004,Ribosomal protein L3-like
S100a10,0.37,0.0154,S100 calcium-binding protein A10
S100a4,0.84,1.60 5,S100 calcium-binding protein A4
Slc38a2,−0.31,0.0015,"Solute carrier family 38, member 2"
Slc41a3,−0.87,5.13 × 10−7,"Solute carrier family 41, member 3"
Slc8a2,−1.94,0.0454,Solute carrier family 8 member A2
Smyd2,−0.38,0.0483,SET and MYND domain-containing 2
Sparcl1,−0.40,0.0015,SPARC-like 1
Srebf1,−0.32,0.0166,Sterol regulatory element-binding transcription factor 1
Stxbp1,0.34,0.0038,Syntaxin-binding protein 1
Tef,0.74,0.0002,"TEF, PAR bZIP transcription factor"
Tf,0.64,0.0295,Transferrin
Tfrc,−0.51,0.0142,Transferrin receptor
Tgm1,1.11,0.0084,Transglutaminase 1
Tlr8,1.06,0.0053,Toll-like receptor 8
Tmem176b,0.31,0.0197,Transmembrane protein 176B
Tmem179,−0.51,0.0091,Transmembrane protein 179
Tp53i11,−0.42,0.0051,Tumor protein p53 inducible protein 11
Tpsb2,−0.78,0.0339,Tryptase β 2
Trim16,−0.36,0.0357,Tripartite motif-containing 16
Tspan18,−0.57,0.0084,Tetraspanin 18
Tut1,0.51,0.0277,"Terminal uridylyl transferase 1, U6 snRNA-specific"
Tyrobp,0.50,0.0365,Transmembrane immune signaling adaptor Tyrobp
Ucp3,−1.69,4.13 × 10−5,Uncoupling protein 3
Wee1,0.47,0.0357,WEE1 G2 checkpoint kinase
