Feature,m/z,Retention Time,Calculated Mass,Errora,Ion,Annotation,Annotation Levelb,Category,Pairwise: Wild Type Versusadt3/4/5/6(NA),Pairwise: Wild Type Versusadt3/4/5/6(DA)
,,,,,,,,,–logP10,Fold,Higher/Lower,–logP10,Fold,Higher/Lower
M521T765,521.2023,12.75,521.2023,0.12,[M–H]–,Dimeric coniferyl alcohol hexoside,3,Lignan glucosides,4.80,3.6,L,3.39,3.4,L
M565T767,565.1921,12.78,565.1921,0.09,[M+FA–H]–,Dimeric coniferyl alcohol hexoside,3,Lignan glucosides,5.04,2.7,L,4.25,2.2,L
M519T836,519.1867,13.93,519.1866,0.11,[M–H]–,Pinoresinol-4-O-β-d-glucoside,1,Lignan glucosides,4.94,3.1,L,5.33,2.8,L
M285T462,285.0613,7.70,285.0610,0.79,[M–H]–,Dihydroxybenzoic acid-O-pentoside,3,Phenolic glucosides,1.95,1.3,L,2.54,1.6,L
M299T502,299.0770,8.37,299.0767,0.97,[M–H]–,Hydroxybenzoic acid-4-O-β-d-glucopyranoside,3,Phenolic glucosides,1.77,2.0,L,1.45,2.4,L
M285T513,285.0610,8.54,285.0610,0.23,[M–H]–,Dihydroxybenzoic acid-O-pentoside,3,Phenolic glucosides,1.42,3.0,L,1.81,2.8,L
M422T137,422.0249,2.28,422.0249,0.13,[M–H]–,Glucoiberin,3,Glucosinolates,4.75,2.6,L,,,
M436T221,436.0407,3.69,436.0406,0.21,[M–H]–,Glucoraphanin,1,Glucosinolates,3.69,2.2,L,1.39,1.8,L
M450T275,450.0562,4.59,450.0562,0.07,[M–H]–,Glucoalyssin,2,Glucosinolates,1.65,1.9,L,1.65,1.5,L
M464T335,464.0708,5.58,464.0719,2.35,[M–H]–,Glucohesperalin,2,Glucosinolates,2.16,2.3,L,2.32,2.5,L
M478T418,478.0874,6.96,478.0875,0.32,[M–H]–,Glucoibarin,3,Glucosinolates,2.50,2.3,L,1.77,1.9,L
M463T497,463.0477,8.29,463.0481,0.97,[M–H]–,4-Hydroxyglucobrassicin,3,Glucosinolates,,,,3.17,2.2,L
M447T498,447.0533,8.31,447.0532,0.31,[M–H]–,Glucobrassicin,3,Glucosinolates,,,,1.83,1.4,L
M492T520,492.1032,8.66,492.1032,0.09,[M–H]–,Glucohirsutin,2,Glucosinolates,2.58,2.6,L,,,
M422T569,422.0578,9.48,422.0579,0.37,[M–H]–,Gluconasturtiin,1,Glucosinolates,4.84,4.5,L,2.84,4.2,L
M402T662,402.0889,11.03,402.0892,0.91,[M–H]–,Hexyl glucosinolate,2,Glucosinolates,1.78,1.9,L,,,
M477T728,477.0637,12.13,477.0638,0.19,[M–H]–,1-Methoxyglucobrassicin,1,Glucosinolates,,,,1.61,2.1,L
