REAGENT or RESOURCE,SOURCE,IDENTIFIER
TERF1-FAM,Applied Biosystems,Assay ID# Mm00436928_m1
TERF2-FAM,Applied Biosystems,Assay ID# Mm01253555_m1
TERF2IP-FAM,Applied Biosystems,Assay ID# Mm01243676_m1
TERT-FAM,Applied Biosystems,Assay ID# Mm00436931_m1
TINF2-FAM,Applied Biosystems,Assay ID# Mm00461166_g1
TPP1-FAM,Applied Biosystems,Assay ID# Mm00487016_m1
XRCC5-FAM,Applied Biosystems,Assay ID# Mm00550142_m1
XRCC6-FAM,Applied Biosystems,Assay ID# Mm00487458_m1
""
Recombinant DNA
""
shEmpty (pLKO.1 puro),Addgene,RRID: Addgene_8453
shXRCC5-1,Sigma-Aldrich,Cat#:SHCLNG-NM_00953; ID#: TRCN0000312925
shXRCC5-2,Sigma-Aldrich,Cat#:SHCLNG-NM_00953; ID#: TRCN0000071044
""
Software and algorithms
""
Fiji,Open Source,https://imagej.net/Fiji
Flowjo v. 10.7.1,Licensed Software,https://www.flowjo.com
Graphpad Prism v. 6.0h,Licensed Software,https://www.graphpad.com
ImageJ,Open Source,https://imagej.net/Welcome
Image Studio,Licensed Software,https://www.licor.com/bio/image-studio/
Lasagna,Open Source,https://biogrid-lasagna.engr.uconn.edu/lasagna_search/index.php
Leica Application Suite X,Licensed Software,https://www.leica-microsystems.com/products/microscope-software/p/leica-las-x-ls/
NIS-Elements,Licensed Software,https://www.microscope.healthcare.nikon.com/products/software/nis-elements
"Odyssey Infared Imaging Software, v. 3.0.30",Licensed Software,https://www.licor.com
Telometer ImageJ Plugin,Open Source,https://demarzolab.pathology.jhmi.edu/telometer/
Zeiss Zen Imaging Software,Licensed Software,https://www.zeiss.com/microscopy/us/products/microscope-software/zen.html
""
Other
""
40 μm cell strainers,VWR,Cat# 10199-654
70 μm cell strainers,Thermo Fisher Scientific,Cat# 08-771-2
"96 well plate, black, optical flat bottom",Thermo Fisher Scientific,Cat# 4311971
"96 well plate, v bottom",Greiner Bio-One,Cat# 651160
C-tubes,Miltenyi,Cat# 130-096-334
Falcon tube with cell strainer cap,Fisher Scientific,Cat# 0877123
Insulin Syringe,Exel International,Cat# 26028
Lipofectamine 3000,Thermo Fisher Scientific,Cat# L3000008
Nunc Lab-Tek II 8-well chamber slides,Thermo Fisher Scientific,Cat# 125658
Superfrost plus microscope slides,Thermo Fisher Scientific,Cat# 1255015
